"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 11 00:55:34 IST 2024","Thu Jan 11 00:55:34 IST 2024","3","All Test Suite","C:/Users/g.shrinivas.ganiga/IdeaProjects/ATB4xSeleniumAdvanceFramework","org.example.vwo.LoginTests.LoginTest","org.example.vwo.LoginTests.LoginTest","setup","setup",""
"passed","Thu Jan 11 01:26:26 IST 2024","Thu Jan 11 01:26:53 IST 2024","27053","All Test Suite","C:/Users/g.shrinivas.ganiga/IdeaProjects/ATB4xSeleniumAdvanceFramework","org.example.vwo.LoginTests.LoginTest","org.example.vwo.LoginTests.LoginTest","testLoginPositive","testLoginPositive",""
